index,Predictor_Set,Model,PR_AUC,Brier_Score,Resolution,Reliability,Uncertainty,ROC_AUC,Log_Loss,Num_Forecasts
14,Deter_States,Logit_L2,0.7175,0.0493,0.043,0.0064,0.0862,0.9488,0.1717,420
7,PCA_Factors_8,XGBoost,0.706,0.0489,0.0414,0.0049,0.0862,0.8949,0.2227,420
18,Deter_PCA,Logit_L2,0.6878,0.0624,0.0397,0.0168,0.0862,0.9504,0.2036,420
19,Deter_PCA,XGBoost,0.686,0.0524,0.0376,0.0049,0.0862,0.9263,0.212,420
22,Deter_Avg,Logit_L2,0.663,0.0751,0.042,0.0315,0.0862,0.9507,0.2662,420
17,Deter_PCA,Logit_L1,0.661,0.0669,0.0397,0.0199,0.0862,0.946,0.2185,420
10,Deter,Logit_L2,0.6239,0.0618,0.0357,0.0104,0.0862,0.946,0.2233,420
21,Deter_Avg,Logit_L1,0.6006,0.0733,0.0362,0.0239,0.0862,0.9336,0.2569,420
12,Deter_States,Logit,0.5936,0.0656,0.031,0.0105,0.0862,0.8764,0.4695,420
3,Full,XGBoost,0.5843,0.0624,0.0327,0.0103,0.0862,0.9197,0.2549,420
13,Deter_States,Logit_L1,0.5836,0.0684,0.0296,0.0135,0.0862,0.8806,0.3163,420
15,Deter_States,XGBoost,0.583,0.065,0.0326,0.0128,0.0862,0.9222,0.2541,420
20,Deter_Avg,Logit,0.5759,0.0754,0.0345,0.0237,0.0862,0.9204,0.2898,420
9,Deter,Logit_L1,0.5643,0.0663,0.0321,0.0121,0.0862,0.9308,0.2098,420
16,Deter_PCA,Logit,0.5549,0.0726,0.0347,0.0214,0.0862,0.917,0.3423,420
6,PCA_Factors_8,Logit_L2,0.5519,0.0642,0.0383,0.0155,0.0862,0.9234,0.4006,420
5,PCA_Factors_8,Logit_L1,0.541,0.0696,0.0374,0.0209,0.0862,0.9184,0.4682,420
23,Deter_Avg,XGBoost,0.5292,0.0667,0.0291,0.0101,0.0862,0.9162,0.2647,420
2,Full,Logit_L2,0.5005,0.0685,0.0345,0.0159,0.0862,0.9128,0.3274,420
8,Deter,Logit,0.499,0.0658,0.0329,0.0125,0.0862,0.9024,0.2997,420
11,Deter,XGBoost,0.4898,0.0773,0.0296,0.0215,0.0862,0.8968,0.3374,420
4,PCA_Factors_8,Logit,0.4887,0.0754,0.0348,0.0238,0.0862,0.8833,0.62,420
1,Full,Logit_L1,0.4537,0.083,0.0243,0.0221,0.0862,0.8982,0.3609,420
0,Full,Logit,0.3197,0.1807,0.0109,0.1061,0.0862,0.8105,2.0002,420
